Number Objects, Memory Usage (MB)
1,28.443878173828125
2,30.796875
3,32.796875
4,35.62132263183594
5,37.62134552001953
6,39.623268127441406
7,41.62133026123047
8,43.621315002441406
9,46.449745178222656
10,48.444053649902344
11,50.44385528564453
12,52.444801330566406
13,55.621559143066406
14,57.621337890625
15,60.44390106201172
16,62.465309143066406
17,64.4438247680664
18,66.44383239746094
19,68.4438247680664
20,70.44384765625
21,72.45948028564453
22,75.62138366699219
23,77.621337890625
24,25.852691650390625
25,27.96875
26,29.96875
27,31.96875
28,33.96875
29,35.96875
30,38.970703125
31,40.970703125
32,42.98439025878906
33,44.970703125
34,46.970703125
35,48.970703125
36,50.970703125
37,52.970703125
38,54.970703125
39,57.96875
40,59.96875
41,61.96875
42,63.96875
43,32.101219177246094
44,33.32316589355469
45,35.33685302734375
46,37.32316589355469
47,39.32316589355469
48,41.32316589355469
49,43.32316589355469
50,45.32904052734375
51,47.32316589355469
52,49.32904052734375
53,52.32121276855469
54,54.32121276855469
55,56.32121276855469
56,58.32121276855469
57,60.32121276855469
58,62.32121276855469
59,64.32121276855469
60,66.32121276855469
61,68.32121276855469
62,70.32121276855469
63,72.32121276855469
64,74.32121276855469
65,77.32316589355469
66,79.32316589355469
67,81.32316589355469
68,83.32316589355469
69,36.430259704589844
70,35.619293212890625
71,37.54490661621094
72,39.74833679199219
73,41.76575469970703
74,43.76582336425781
75,45.75604248046875
76,47.945953369140625
77,49.93263244628906
78,51.96148681640625
79,53.95387268066406
80,56.141937255859375
81,58.157508850097656
82,60.12616729736328
83,62.142112731933594
84,64.32286834716797
85,66.3377456665039
86,68.33863067626953
87,70.35133361816406
88,72.35528564453125
89,74.54151153564453
90,76.51795959472656
91,78.518798828125
92,80.53589630126953
93,82.5648422241211
94,84.74901580810547
95,86.75328826904297
96,88.73568725585938
97,90.73253631591797
98,92.95108795166016
99,43.40087890625
100,45.40087890625
