Number Objects, Time (ms)
1,869
2,16
3,18
4,19
5,17
6,13
7,15
8,15
9,11
10,42
11,14
12,16
13,11
14,13
15,15
16,12
17,21
18,12
19,9
20,9
21,11
22,17
23,13
24,32
25,10
26,12
27,8
28,11
29,11
30,11
31,8
32,8
33,8
34,6
35,10
36,11
37,10
38,9
39,8
40,9
41,9
42,18
43,21
44,8
45,10
46,15
47,9
48,11
49,9
50,9
51,9
52,10
53,7
54,10
55,8
56,9
57,10
58,12
59,7
60,9
61,8
62,7
63,6
64,8
65,15
66,8
67,5
68,8
69,20
70,14
71,11
72,8
73,6
74,7
75,9
76,9
77,7
78,8
79,11
80,11
81,10
82,10
83,8
84,7
85,7
86,13
87,13
88,8
89,7
90,18
91,9
92,6
93,6
94,7
95,9
96,11
97,40
98,36
99,23
100,7
