Number Objects, Memory Usage (MB)
1,31060208
2,34020056
3,36116992
4,38230488
5,40311288
6,42410456
7,44875776
8,46972928
9,49934824
10,52031736
11,54128896
12,56226096
13,59185920
14,61652992
15,64620800
16,66711800
17,68808952
18,70906096
19,73003272
20,75100448
21,77197800
22,80157248
23,82254320
24,28280832
25,30392336
26,32475136
27,34572288
28,36683792
29,39813120
30,41910272
31,44007424
32,46104576
33,48201728
34,50298880
35,52396032
36,54493184
37,56592384
38,59738112
39,61835264
40,63932416
41,66029568
42,68141072
43,33891248
44,35988400
45,38085552
46,40182704
47,42279856
48,44377008
49,46474160
50,48571312
51,51725248
52,53816240
53,55913392
54,58010544
55,60107696
56,62204848
57,64302000
58,66399152
59,68496304
60,70593456
61,72690608
62,74787760
63,76884912
64,80028592
65,82125744
66,84222896
67,86320048
68,88417200
69,38844920
70,38409144
71,40629720
72,42732920
73,44830072
74,47140776
75,49231800
76,51329040
77,53426072
78,55753168
79,57825768
80,59922896
81,62020032
82,64338976
83,66420616
84,68516880
85,70615088
86,72741936
87,75015696
88,77110984
89,79207936
90,81305128
91,83624144
92,85721208
93,87805472
94,89929920
95,92019104
96,94302128
97,96395992
98,98493040
99,46555648
100,48652800
