Number Objects, Time (ms)
1,21
2,9
3,6
4,10
5,9
6,9
7,8
8,9
9,11
10,12
11,6
12,8
13,8
14,7
15,6
16,13
17,10
18,12
19,9
20,6
21,5
22,8
23,8
24,4
25,9
26,6
27,10
28,16
29,13
30,4
31,5
32,8
33,8
34,6
35,6
36,8
37,11
38,8
39,8
40,10
41,16
42,12
43,12
44,7
45,14
46,7
47,18
48,13
49,9
50,8
51,6
52,8
53,4
54,5
55,7
56,12
57,8
58,5
59,5
60,12
61,4
62,4
63,6
64,10
65,8
66,7
67,7
68,8
69,9
70,9
71,13
72,4
73,3
74,9
75,8
76,3
77,5
78,22
79,17
80,9
81,4
82,6
83,5
84,5
85,5
86,5
87,5
88,4
89,6
90,5
91,3
92,8
93,5
94,9
95,8
96,21
97,29
98,8
99,11
100,5
