Number Objects,Memory Usage (MB)
1,29.621322631835938
2,31.621559143066406
3,34.44384765625
4,36.459434509277344
5,38.44384002685547
6,40.445762634277344
7,42.459442138671875
8,44.796875
9,47.621559143066406
10,49.62133026123047
11,51.621337890625
12,53.62138366699219
13,56.444091796875
14,58.44386291503906
15,60.796875
16,63.62133026123047
17,65.62133026123047
18,67.62132263183594
19,69.62134552001953
20,71.62136840820312
21,73.6215591430664
22,76.44390869140625
23,78.44383239746094
24,26.970703125
25,28.984390258789062
26,30.970703125
27,32.970703125
28,34.98439025878906
29,36.970703125
30,39.96875
31,41.96875
32,43.96875
33,45.96875
34,47.96875
35,49.96875
36,51.96875
37,53.96875
38,55.96875
39,57.96875
40,60.970703125
41,62.970703125
42,64.98439025878906
43,31.652755737304688
44,34.32121276855469
45,36.32121276855469
46,38.32121276855469
47,40.32121276855469
48,42.32121276855469
49,44.32121276855469
50,46.32121276855469
51,48.32121276855469
52,50.32121276855469
53,53.32316589355469
54,55.32316589355469
55,57.32316589355469
56,59.32316589355469
57,61.32316589355469
58,63.32316589355469
59,65.32316589355469
60,67.32316589355469
61,69.32316589355469
62,71.32316589355469
63,73.32316589355469
64,75.32904052734375
65,78.32121276855469
66,80.32121276855469
67,82.32121276855469
68,84.32121276855469
69,37.04540252685547
70,36.433982849121094
71,38.524139404296875
72,40.56304931640625
73,42.75328826904297
74,44.7451171875
75,46.75328826904297
76,48.95118713378906
77,50.951072692871094
78,52.951072692871094
79,54.95111083984375
80,56.951080322265625
81,59.14691162109375
82,61.146942138671875
83,63.146942138671875
84,65.14695739746094
85,67.34379577636719
86,69.37211608886719
87,71.3447036743164
88,73.34286499023438
89,75.53857421875
90,77.53861236572266
91,79.55435943603516
92,81.55424499511719
93,83.54193115234375
94,85.5680160522461
95,87.75625610351562
96,89.73764038085938
97,91.7345199584961
98,93.73445129394531
99,44.39892578125
100,46.39892578125
