Number Objects,Time (ms)
1,47
2,21
3,23
4,19
5,18
6,14
7,14
8,21
9,16
10,14
11,19
12,15
13,15
14,12
15,12
16,16
17,14
18,14
19,12
20,12
21,12
22,12
23,15
24,19
25,15
26,11
27,13
28,14
29,15
30,10
31,9
32,12
33,11
34,11
35,10
36,16
37,13
38,12
39,12
40,11
41,22
42,16
43,39
44,11
45,9
46,10
47,17
48,15
49,12
50,14
51,10
52,11
53,11
54,9
55,12
56,13
57,12
58,11
59,9
60,12
61,8
62,10
63,8
64,19
65,11
66,15
67,11
68,12
69,19
70,12
71,14
72,9
73,7
74,11
75,12
76,7
77,7
78,9
79,15
80,11
81,10
82,11
83,6
84,9
85,8
86,10
87,10
88,10
89,8
90,16
91,6
92,10
93,9
94,9
95,11
96,19
97,14
98,41
99,20
100,10
