Number Objects, Memory Usage (MB)
1,26.381332397460938
2,29.44189453125
3,32.59192657470703
4,35.1676025390625
5,38.30570983886719
6,41.16761016845703
7,43.16767120361328
8,46.30572509765625
9,49.16759490966797
10,52.31940460205078
11,55.169769287109375
12,57.18321990966797
13,60.307891845703125
14,63.181358337402344
15,66.30573272705078
16,68.30595397949219
17,71.1676025390625
18,74.30571746826172
19,25.672256469726562
20,28.84716796875
21,31.84521484375
22,34.84716796875
23,36.84716796875
24,39.84521484375
25,42.84716796875
26,45.84521484375
27,47.84521484375
28,50.84716796875
29,53.84521484375
30,55.84521484375
31,58.84716796875
32,60.84718322753906
33,33.12841796875
34,36.12646484375
35,38.12646484375
36,41.12841796875
37,44.12646484375
38,46.12646484375
39,49.12841796875
40,52.12646484375
41,55.12841796875
42,57.12841796875
43,60.12646484375
44,64.12646484375
45,66.12646484375
46,69.12841796875
47,72.12646484375
48,74.12646484375
49,77.12841796875
50,80.12646484375
51,82.12646484375
52,85.12841796875
53,87.12841796875
54,90.12646484375
55,93.12841796875
56,95.12841796875
57,39.84423828125
58,42.81957244873047
59,45.42205047607422
60,48.025360107421875
61,50.637657165527344
62,53.21063232421875
63,55.82075500488281
64,58.42811584472656
65,61.22728729248047
66,63.8287353515625
67,66.42835235595703
68,69.01764678955078
69,71.65251922607422
70,74.23253631591797
71,76.81954956054688
72,79.43733978271484
73,81.82915496826172
74,84.42847442626953
75,87.02338409423828
76,89.61729431152344
77,92.23259735107422
78,94.82140350341797
79,97.45886993408203
80,100.03500366210938
81,49.18683624267578
82,51.9482421875
83,53.9482421875
84,56.9501953125
85,58.9501953125
86,61.9482421875
87,64.9501953125
88,66.9501953125
89,69.9482421875
90,71.9482421875
91,74.9501953125
92,76.9501953125
93,79.9482421875
94,82.9501953125
95,84.9501953125
96,87.9482421875
97,89.9482421875
98,92.9501953125
99,94.9501953125
100,97.9482421875
