Number Objects, Time (ms)
1,1284
2,36
3,61
4,38
5,41
6,35
7,35
8,44
9,60
10,22
11,25
12,23
13,14
14,19
15,34
16,28
17,17
18,19
19,83
20,24
21,23
22,23
23,29
24,19
25,14
26,14
27,15
28,24
29,17
30,38
31,23
32,18
33,41
34,13
35,13
36,20
37,19
38,12
39,23
40,24
41,14
42,15
43,15
44,19
45,13
46,21
47,20
48,15
49,19
50,18
51,21
52,27
53,12
54,19
55,16
56,18
57,12
58,14
59,15
60,12
61,21
62,13
63,17
64,23
65,28
66,14
67,11
68,22
69,24
70,26
71,25
72,13
73,29
74,19
75,9
76,14
77,15
78,15
79,15
80,12
81,41
82,14
83,20
84,25
85,27
86,33
87,17
88,15
89,16
90,21
91,59
92,15
93,15
94,21
95,17
96,15
97,22
98,10
99,12
100,14
