Number Objects, Time (ms)
1,15
2,139
3,7
4,6
5,6
6,9
7,10
8,10
9,3
10,6
11,6
12,5
13,4
14,5
15,6
16,6
17,6
18,5
19,9
20,5
21,4
22,4
23,4
24,4
25,5
26,6
27,6
28,6
29,8
30,6
31,5
32,24
33,5
34,6
35,6
36,4
37,5
38,6
39,8
40,6
41,6
42,17
43,17
44,7
45,14
46,8
47,3
48,9
49,11
50,15
51,6
52,4
53,13
54,6
55,7
56,12
57,8
58,4
59,4
60,10
61,3
62,16
63,23
64,9
65,5
66,6
67,12
68,3
69,7
70,14
71,22
72,17
73,5
74,6
75,2
76,7
77,6
78,3
79,4
80,4
81,3
82,10
83,12
84,24
85,24
86,6
87,8
88,8
89,6
90,6
91,4
92,9
93,5
94,21
95,6
96,12
97,4
98,4
99,7
100,5
