Number Objects, Memory Usage (MB)
1,27.44384765625
2,31.17542266845703
3,34.30572509765625
4,36.30583190917969
5,39.167579650878906
6,42.30573272705078
7,45.16759490966797
8,47.44189453125
9,50.30595397949219
10,53.18321990966797
11,56.30573272705078
12,59.16856384277344
13,61.16979217529297
14,64.30789184570312
15,67.16783905029297
16,70.30573272705078
17,72.30575561523438
18,75.16761779785156
19,27.84521484375
20,30.84716796875
21,32.84716796875
22,35.84521484375
23,38.86085510253906
24,40.84716796875
25,43.84521484375
26,46.84716796875
27,48.84716796875
28,51.84521484375
29,54.86085510253906
30,56.84716796875
31,59.84521484375
32,31.12646484375
33,34.12646484375
34,37.12841796875
35,40.12646484375
36,42.12646484375
37,45.12841796875
38,48.12646484375
39,51.12841796875
40,54.12646484375
41,56.12646484375
42,59.12841796875
43,63.12841796875
44,65.12841796875
45,68.12646484375
46,70.12646484375
47,73.12841796875
48,76.12646484375
49,78.12646484375
50,81.12841796875
51,83.12841796875
52,86.12646484375
53,89.12841796875
54,91.14210510253906
55,94.12646484375
56,39.24921417236328
57,41.48670196533203
58,44.02436828613281
59,46.62384033203125
60,49.21649169921875
61,51.835174560546875
62,54.42814636230469
63,57.03839874267578
64,59.79917907714844
65,62.42835235595703
66,65.03837585449219
67,67.61763763427734
68,70.23448181152344
69,72.81937408447266
70,75.45388793945312
71,78.03500366210938
72,80.62383270263672
73,83.24867248535156
74,85.8289794921875
75,88.2325439453125
76,90.8193359375
77,93.4094009399414
78,96.03398895263672
79,98.62372589111328
80,101.25568389892578
81,49.9482421875
82,52.9501953125
83,55.9482421875
84,57.9482421875
85,60.9501953125
86,62.9501953125
87,65.9482421875
88,67.9482421875
89,70.9501953125
90,73.9482421875
91,75.9482421875
92,78.96388244628906
93,80.9501953125
94,83.9482421875
95,85.9482421875
96,88.96388244628906
97,91.9482421875
98,93.9482421875
99,96.9501953125
100,98.9501953125
