Number Objects, Time (ms)
1,62
2,46
3,28
4,56
5,21
6,26
7,42
8,28
9,24
10,22
11,20
12,16
13,19
14,57
15,18
16,26
17,23
18,12
19,20
20,20
21,23
22,14
23,19
24,17
25,15
26,19
27,17
28,23
29,16
30,28
31,19
32,90
33,22
34,19
35,19
36,15
37,18
38,19
39,26
40,17
41,41
42,13
43,36
44,17
45,30
46,23
47,21
48,24
49,27
50,16
51,26
52,17
53,18
54,34
55,13
56,62
57,47
58,14
59,16
60,12
61,17
62,12
63,15
64,25
65,11
66,15
67,16
68,13
69,20
70,16
71,23
72,32
73,24
74,14
75,8
76,11
77,22
78,13
79,13
80,13
81,15
82,27
83,16
84,27
85,41
86,37
87,14
88,21
89,10
90,15
91,15
92,15
93,21
94,23
95,13
96,24
97,16
98,11
99,14
100,15
