Number Objects, Memory Usage (MB)
1,24.16070556640625
2,27.83623504638672
3,30.812774658203125
4,33.36479187011719
5,36.30810546875
6,38.53125
7,41.35112762451172
8,44.309791564941406
9,48.05298614501953
10,50.82289123535156
11,53.030357360839844
12,55.98902130126953
13,58.82269287109375
14,61.76586151123047
15,64.61338806152344
16,26.75782012939453
17,29.638534545898438
18,32.784751892089844
19,35.46276092529297
20,38.140655517578125
21,40.57372283935547
22,44.15208435058594
23,46.78643798828125
24,49.46631622314453
25,52.14421844482422
26,54.78643798828125
27,57.46648406982422
28,60.14436340332031
29,29.69794464111328
30,34.284454345703125
31,36.22088623046875
32,40.088958740234375
33,42.023033142089844
34,44.22040557861328
35,48.10404968261719
36,50.038055419921875
37,52.22040557861328
38,56.08843994140625
39,58.030242919921875
40,60.22040557861328
41,62.154457092285156
42,66.02250671386719
43,68.23602294921875
44,72.10407257080078
45,74.0385513305664
46,78.15447235107422
47,80.08847045898438
48,82.0225830078125
49,86.1545181274414
50,88.08856964111328
51,90.02262115478516
52,92.22042846679688
53,96.08856964111328
54,98.0303726196289
55,100.22040557861328
56,104.08853912353516
57,106.03815460205078
58,108.22042083740234
59,112.1041030883789
60,114.03810119628906
61,116.2204360961914
62,120.08849334716797
63,122.02249145507812
64,124.23408508300781
65,128.54156494140625
66,130.28445434570312
67,132.23412322998047
68,136.10223388671875
69,138.03627014160156
70,140.2204132080078
71,144.08843231201172
72,146.02243041992188
73,47.953704833984375
74,47.953704833984375
75,50.54771423339844
76,54.54966735839844
77,58.54771423339844
78,58.54771423339844
79,62.54966735839844
80,66.54771423339844
81,66.81635284423828
82,70.81635284423828
83,74.54771423339844
84,74.54771423339844
85,78.54966735839844
86,82.54771423339844
87,86.54966735839844
88,86.54966735839844
89,90.54771423339844
90,90.54771423339844
91,94.54966735839844
92,98.54771423339844
93,98.54771423339844
94,102.54966735839844
95,106.54771423339844
96,106.54771423339844
97,111.08303833007812
98,114.54771423339844
99,114.54771423339844
100,118.54966735839844
