Number Objects, Time (ms)
1,892
2,22
3,20
4,20
5,18
6,17
7,18
8,19
9,18
10,16
11,15
12,15
13,15
14,15
15,17
16,19
17,16
18,16
19,14
20,14
21,13
22,18
23,13
24,14
25,14
26,15
27,14
28,13
29,15
30,12
31,13
32,12
33,16
34,15
35,13
36,11
37,13
38,11
39,12
40,12
41,14
42,11
43,13
44,12
45,12
46,11
47,12
48,11
49,13
50,11
51,11
52,12
53,10
54,11
55,10
56,11
57,11
58,13
59,11
60,11
61,10
62,12
63,13
64,11
65,13
66,11
67,12
68,11
69,10
70,11
71,11
72,12
73,17
74,11
75,10
76,10
77,10
78,11
79,11
80,9
81,12
82,11
83,9
84,10
85,11
86,12
87,9
88,10
89,10
90,11
91,11
92,10
93,11
94,10
95,10
96,10
97,12
98,10
99,11
100,9
