Number Objects, Time (ms)
1,14
2,6
3,5
4,7
5,6
6,5
7,6
8,6
9,5
10,6
11,4
12,5
13,5
14,4
15,5
16,4
17,4
18,4
19,4
20,4
21,4
22,4
23,3
24,4
25,3
26,5
27,3
28,4
29,5
30,4
31,4
32,6
33,4
34,4
35,3
36,3
37,4
38,4
39,4
40,4
41,4
42,3
43,5
44,4
45,3
46,3
47,3
48,4
49,4
50,4
51,4
52,4
53,4
54,4
55,3
56,3
57,5
58,3
59,4
60,3
61,3
62,3
63,3
64,5
65,3
66,3
67,3
68,4
69,4
70,2
71,3
72,3
73,3
74,3
75,3
76,3
77,3
78,4
79,2
80,4
81,3
82,3
83,3
84,4
85,4
86,4
87,3
88,3
89,3
90,3
91,3
92,3
93,3
94,2
95,4
96,3
97,3
98,3
99,3
100,3
