Number Objects, Memory Usage (MB)
1,25.351104736328125
2,29.325546264648438
3,31.54857635498047
4,34.836334228515625
5,37.044105529785156
6,40.002777099609375
7,42.83045959472656
8,46.58140563964844
9,49.35132598876953
10,52.294525146484375
11,54.50188446044922
12,57.351104736328125
13,60.294281005859375
14,62.501625061035156
15,24.566818237304688
16,28.74591064453125
17,30.78643798828125
18,33.677391052246094
19,36.355384826660156
20,39.68109130859375
21,42.36677551269531
22,45.04473114013672
23,48.573692321777344
24,51.2515869140625
25,53.929473876953125
26,56.57374572753906
27,59.251731872558594
28,29.258468627929688
29,32.950355529785156
30,36.22088623046875
31,38.154876708984375
32,40.088958740234375
33,44.22040557861328
34,46.170021057128906
35,48.10404968261719
36,50.284454345703125
37,54.15441131591797
38,56.08843994140625
39,58.284454345703125
40,62.154457092285156
41,64.08845520019531
42,66.02250671386719
43,70.1700439453125
44,74.0385513305664
45,76.22040557861328
46,78.15447235107422
47,82.0225830078125
48,84.22040557861328
49,86.1545181274414
50,90.02262115478516
51,92.22042846679688
52,94.15445709228516
53,96.08856964111328
54,100.22040557861328
55,102.1545181274414
56,104.08853912353516
57,108.22042083740234
58,110.15448760986328
59,112.1041030883789
60,114.28445434570312
61,118.15443420410156
62,120.08849334716797
63,122.02249145507812
64,126.6075668334961
65,128.54156494140625
66,132.23412322998047
67,134.16812133789062
68,136.10223388671875
69,140.2204132080078
70,142.15440368652344
71,144.08843231201172
72,146.28445434570312
73,47.953704833984375
74,50.54771423339844
75,54.54966735839844
76,54.54966735839844
77,58.54771423339844
78,62.54966735839844
79,62.54966735839844
80,66.81635284423828
81,70.81635284423828
82,70.81635284423828
83,74.54771423339844
84,78.54966735839844
85,78.54966735839844
86,82.54771423339844
87,86.54966735839844
88,86.54966735839844
89,90.54771423339844
90,94.54966735839844
91,94.54966735839844
92,98.54771423339844
93,102.54966735839844
94,102.54966735839844
95,106.54771423339844
96,111.08303833007812
97,111.08303833007812
98,114.54771423339844
99,118.54966735839844
100,118.54966735839844
