Number Objects, Time (ms)
1,26
2,24
3,20
4,19
5,21
6,18
7,20
8,18
9,17
10,16
11,19
12,17
13,14
14,14
15,22
16,19
17,14
18,14
19,15
20,13
21,13
22,14
23,13
24,14
25,14
26,14
27,13
28,12
29,14
30,13
31,12
32,16
33,13
34,14
35,12
36,13
37,12
38,12
39,12
40,13
41,11
42,13
43,27
44,12
45,12
46,11
47,12
48,13
49,11
50,12
51,11
52,12
53,11
54,13
55,12
56,11
57,11
58,10
59,11
60,11
61,11
62,12
63,11
64,16
65,11
66,12
67,12
68,10
69,11
70,10
71,12
72,11
73,10
74,11
75,12
76,10
77,10
78,11
79,10
80,12
81,10
82,12
83,10
84,11
85,11
86,13
87,10
88,10
89,11
90,10
91,10
92,10
93,10
94,11
95,11
96,12
97,10
98,9
99,10
100,9
