Number Objects, Memory Usage (MB)
1,28.45185089111328
2,30.45140838623047
3,32.45146179199219
4,34.80419921875
5,36.80419921875
6,39.628936767578125
7,41.62877655029297
8,43.64246368408203
9,45.628753662109375
10,48.45745086669922
11,50.451576232910156
12,52.45159149169922
13,54.45136260986328
14,56.45134735107422
15,58.80419921875
16,60.80419921875
17,62.80419921875
18,65.62874603271484
19,67.62877655029297
20,69.62898254394531
21,71.62875366210938
22,74.4650650024414
23,27.153160095214844
24,29.153160095214844
25,31.153160095214844
26,33.153160095214844
27,35.153160095214844
28,37.153160095214844
29,39.153160095214844
30,41.153160095214844
31,43.166847229003906
32,45.153160095214844
33,48.151206970214844
34,50.151206970214844
35,52.151206970214844
36,54.151206970214844
37,56.151206970214844
38,58.151206970214844
39,60.151206970214844
40,62.151206970214844
41,64.15120697021484
42,66.15120697021484
43,69.15316009521484
44,32.4378662109375
45,34.4378662109375
46,36.4378662109375
47,38.4378662109375
48,40.4378662109375
49,42.4378662109375
50,45.4398193359375
51,47.4398193359375
52,49.4398193359375
53,51.45350646972656
54,53.45350646972656
55,55.4398193359375
56,57.4398193359375
57,59.4398193359375
58,62.4378662109375
59,64.4378662109375
60,66.4378662109375
61,68.4378662109375
62,70.4378662109375
63,72.4378662109375
64,74.4378662109375
65,76.4378662109375
66,78.4378662109375
67,80.4378662109375
68,82.4378662109375
69,85.4398193359375
70,87.4398193359375
71,89.4398193359375
72,91.4398193359375
73,37.36827087402344
74,35.811737060546875
75,37.76972198486328
76,39.785308837890625
77,41.963706970214844
78,43.979156494140625
79,45.98707580566406
80,47.96350860595703
81,49.992881774902344
82,51.96588134765625
83,53.995399475097656
84,56.1888427734375
85,58.1712646484375
86,60.18894958496094
87,62.204444885253906
88,64.15760803222656
89,66.15760803222656
90,68.18212890625
91,70.16372680664062
92,72.17324829101562
93,74.19471740722656
94,76.36756134033203
95,78.35183715820312
96,80.37510681152344
97,82.35162353515625
98,84.36736297607422
99,86.36735534667969
100,88.36196899414062
