Number Objects, Time (ms)
1,1164
2,30
3,29
4,38
5,24
6,23
7,19
8,25
9,20
10,18
11,19
12,23
13,19
14,28
15,27
16,12
17,18
18,33
19,20
20,18
21,33
22,27
23,21
24,13
25,27
26,17
27,15
28,16
29,16
30,19
31,12
32,16
33,11
34,16
35,32
36,19
37,18
38,16
39,17
40,15
41,20
42,24
43,24
44,44
45,24
46,24
47,82
48,20
49,17
50,18
51,19
52,19
53,17
54,27
55,16
56,22
57,13
58,16
59,21
60,14
61,22
62,19
63,15
64,36
65,15
66,14
67,12
68,9
69,12
70,15
71,11
72,16
73,70
74,48
75,25
76,16
77,15
78,24
79,11
80,20
81,10
82,22
83,10
84,11
85,14
86,24
87,9
88,18
89,11
90,14
91,13
92,16
93,9
94,27
95,10
96,13
97,14
98,11
99,14
100,10
