Number Objects, Memory Usage (MB)
1,31068064
2,33165208
3,35261320
4,38238424
5,40319152
6,42416536
7,44513496
8,46625104
9,49077760
10,51174912
11,54136680
12,56233832
13,58330976
14,60428376
15,63387888
16,65499328
17,67582144
18,69695800
19,71776712
20,73873840
21,75970744
22,27421528
23,29518680
24,31615832
25,33712984
26,35810136
27,37907288
28,40004440
29,42101592
30,44198744
31,46295896
32,49443672
33,51540824
34,53637976
35,55749480
36,57832280
37,59929432
38,62026584
39,64123736
40,66220888
41,68332392
42,71461720
43,32981392
44,35064192
45,37161344
46,39264656
47,41355648
48,43683616
49,46596480
50,48693632
51,50790784
52,52887936
53,54985088
54,57082240
55,59179392
56,61276544
57,64424320
58,66521472
59,68618624
60,70715776
61,72813184
62,74910080
63,77007232
64,79104384
65,81215888
66,83304848
67,86442368
68,88539520
69,90636672
70,92733824
71,94830976
72,96928128
73,39955296
74,38585312
75,40868928
76,42947512
77,45054408
78,47133224
79,49246704
80,51524880
81,53487920
82,55752464
83,57865992
84,59938120
85,62049288
86,64157448
87,66254600
88,68351752
89,70448904
90,72757744
91,74848752
92,76952048
93,79043040
94,81140200
95,83237344
96,85334496
97,87431768
98,89528800
99,91837704
100,93934800
