Number Objects, Time (ms)
1,28
2,17
3,17
4,13
5,21
6,18
7,19
8,16
9,17
10,40
11,21
12,16
13,59
14,9
15,14
16,17
17,16
18,32
19,8
20,16
21,9
22,54
23,11
24,12
25,8
26,13
27,13
28,11
29,12
30,14
31,18
32,13
33,10
34,12
35,11
36,12
37,9
38,7
39,15
40,29
41,14
42,28
43,28
44,26
45,23
46,63
47,19
48,12
49,13
50,12
51,9
52,12
53,7
54,11
55,17
56,14
57,15
58,34
59,11
60,13
61,17
62,10
63,15
64,19
65,9
66,17
67,6
68,14
69,20
70,17
71,16
72,54
73,8
74,15
75,16
76,14
77,12
78,15
79,17
80,9
81,12
82,10
83,17
84,13
85,15
86,14
87,31
88,26
89,13
90,20
91,15
92,26
93,30
94,14
95,12
96,16
97,10
98,24
99,10
100,16
