Number Objects,Time (ms)
1,42
2,36
3,28
4,31
5,29
6,39
7,22
8,28
9,32
10,27
11,35
12,26
13,26
14,19
15,20
16,28
17,26
18,35
19,35
20,38
21,16
22,16
23,21
24,28
25,13
26,27
27,17
28,20
29,31
30,19
31,18
32,20
33,16
34,17
35,22
36,21
37,22
38,16
39,29
40,27
41,22
42,58
43,104
44,51
45,21
46,76
47,32
48,24
49,32
50,18
51,24
52,20
53,29
54,16
55,32
56,22
57,18
58,25
59,27
60,18
61,18
62,11
63,25
64,19
65,15
66,18
67,17
68,15
69,25
70,19
71,23
72,21
73,22
74,22
75,20
76,20
77,22
78,15
79,13
80,24
81,24
82,23
83,13
84,16
85,17
86,14
87,16
88,15
89,18
90,15
91,26
92,17
93,15
94,29
95,18
96,26
97,12
98,14
99,8
100,16
